listing_id,date
16254,2018-08-04
16254,2018-08-19
16254,2018-08-26
16254,2019-08-03
16254,2019-08-19
16254,2022-07-03
16254,2022-07-30
16611,2017-12-24
16611,2018-02-12
16611,2018-02-16
17765,2012-10-01
17765,2012-12-03
17765,2012-12-18
17765,2012-12-28
17765,2013-01-03
17765,2013-01-16
17765,2013-01-20
17765,2013-02-01
17765,2013-02-18
17765,2013-03-05
17765,2013-03-16
17765,2013-04-01
17765,2013-04-14
17765,2013-04-23
17765,2013-05-02
17765,2013-05-14
17765,2013-06-04
17765,2013-06-15
17765,2013-06-19
17765,2013-07-01
17765,2013-07-06
17765,2013-07-08
17765,2013-07-25
17765,2013-07-27
17765,2013-08-07
17765,2013-08-14
17765,2013-08-18
17765,2013-08-20
17765,2013-08-22
17765,2013-08-31
17765,2013-09-07
17765,2013-09-15
17765,2013-09-19
17765,2013-09-21
17765,2015-05-06
17765,2015-05-17
17765,2015-05-25
17765,2015-05-31
17765,2015-06-13
17765,2015-06-17
17765,2015-06-27
17765,2015-07-05
17765,2015-07-26
17765,2015-07-30
17765,2015-08-10
17765,2015-08-16
17765,2015-08-24
17765,2015-08-30
17765,2015-09-23
17765,2016-01-02
17765,2016-02-15
17765,2016-02-26
17765,2016-03-09
17765,2016-03-18
17765,2016-04-10
17765,2016-05-31
17765,2016-06-16
17765,2016-06-28
17765,2016-07-08
17765,2016-08-04
17765,2016-08-07
17765,2016-08-29
17765,2016-08-31
17765,2016-09-03
17765,2016-09-19
17765,2016-09-25
17765,2016-09-27
17765,2016-10-13
17765,2016-10-25
17765,2016-11-16
17765,2016-12-10
17765,2016-12-21
17765,2016-12-23
17765,2017-01-03
17765,2017-01-22
17765,2017-02-13
17765,2017-02-19
17765,2017-03-19
17765,2017-03-26
17765,2017-04-03
17765,2017-04-11
17765,2017-04-19
17765,2017-04-30
17765,2017-05-05
17765,2017-05-08
17765,2017-05-17
17765,2017-05-21
17765,2017-05-26
17765,2017-05-28
17765,2017-05-30
17765,2017-06-01
17765,2017-06-10
17765,2017-06-13
17765,2017-06-17
17765,2017-06-21
17765,2017-06-25
17765,2017-07-04
17765,2017-07-07
17765,2017-07-12
17765,2017-07-14
17765,2017-07-16
17765,2017-08-03
17765,2017-08-06
17765,2017-08-14
17765,2017-08-17
17765,2017-08-23
17765,2017-08-25
17765,2017-08-29
17765,2017-09-04
17765,2017-09-11
17765,2017-09-20
17765,2017-09-23
17765,2017-09-30
17765,2017-10-05
17765,2017-10-11
17765,2017-10-13
17765,2017-10-16
17765,2017-10-19
17765,2017-10-24
